Content,Date,User
"Este circo es ofensivo! Y daña a todo méxico, amlo eres lo peor #AMLOelPeorPresidenteDelMundo #AmloCorruptoMafioso #AmloDelincuenteConfeso",25 ago.,@patricio_em20
"Pinche payaso!
Tú te ves pequeño incluso al lado de un “Vocho”!
No es un súper lujo vivir en Palacio Nacional?
Un presidente vendedor de loterías!",24 ago.,@nopal51
"Ha de ser por la convicción de seguir mintiendo y distrayendo la atención de lo verdaderamente importante, con sus tonterías y ocurrencias, porque de trabajar, no lo creo, no sabe lo que es trabajar, sólo sabe vivir a costa de los demás y ver cómo sigue hundiendo a nuestro país",25 ago.,@Roxy08570414
"Gracias, mi querido presidente, porque sólo  un ciego y necio no puede ver lo que ha hecho por el pueblo y todos hemos sufrido las consecuencias, de ahora, si, pero por la corrupción  de ayer, pero no lo dejaremos sólo.",25 ago.,@MaraMarcelinad1
Buen días señor presidente,25 ago.,@Mostafat19
"Yo ya compre mi cachito, #HagamosHistoria
Es por México.",24 ago.,@Mezlety1
Usted necesita comprar un cachito. ¡Pero de madre! señor presidente.,24 ago.,@LunaGVent
"Jajajajajajajajaja na mammsss!!!!
Pinshi Lopez standupero!! 
😂😂😂😂😂🤣🤣🤣🤣
Historia vamos hacer en 2021 cuando te mandemos a CHTM !! 💪",24 ago.,@RBorealis
"#BastaDeCirco no eres más que un payaso muy malo con un show mediocre, mini presidente.",24 ago.,@Pizza_y_Papitas
"Mensaje del General a la @Profeco,

Hay un viejo loco vendiendo cachitos de una supuesta rifa de un avión pero que no te ganas el avión. En resumen es un fraude para el pueblo de México. 

Te encargo por favor pongas fin a esta rifa y pongas sanciones a los que la promueven!✍️🧐",24 ago.,@DonPorfifirio
"Fachitos, ¿vamos a llevarnos bien, vale? Cuando se dirijan a este hombre, háganlo con título y apellido: Sr Presidente López Obrador. Luego dejen su like, RT y lárguense.",24 ago.,@Berexun
"De presidente a:""gritón de la lotería""
¡Patético!

#BastadeCirco",24 ago.,@carmen_olvera
"Presidente con respeto. Usted dice ser republicano. Que significa para usted? Español? Ellos querían descentralizar el poder, ud no. Americano? Como Trump? Tal vez. República Islamica? Ahí solo vale una palabra. Tal vez. Juarista? Ellos buscaban la primacía de la Ley, usted no.",24 ago.,@Bgonzalezroaro
"Yo humildemente ya tengo mis 12 cachitos.

Y no quiero ganar, solo quiero ayudar.

Ayudar a mi pueblo y mi presidente.",24 ago.,@forozcolg
"¿Se acuerdan que su primer informe de gobierno López decía en sus spots: ""No es por presumir pero ya se vendió el avión presidencial""? 
😂",24 ago.,@Garcimonero
"Compra medicamentos oncológicos.
Eso no es cuestión de hacer historia, es una obligación",24 ago.,@MarcelaEsRojo
"Por años estuvo diciendo que no se subiría al avión, pero el circo ya no le está funcionando. Y ahora tiene que tragarse sus palabras. Yo creo que por eso esta tan gordito y panzoncito. En lo que va de su sexenio se ha tenido que tragar todo lo que dijo y tuiteó en campaña. 🙄",24 ago.,@aracelibs
